0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
112.04,137.65,169.64,134.85,109.79,132.18,135.7,167.93,237.44,156.09,149.62,122.04,137.78,170.82,175.34,182.23,165.08,159.61
3.2819,3.5121,3.3422,4.8338,3.8222,3.1456,3.4273,3.4823,4.3377,2.474,7.9109,9.8966,5.4198,7.3625,7.1448,7.2552,11.592,11.536
48.055,24.462,31.227,27.043,37.525,40.963,20.156,31.87,30.416,37.178,24.036,11.303,26.345,21.229,21.168,26.486,10.016,17.393
4.1905,1.5844,0.9809,3.1883,3.1141,4.0914,0.831,1.1428,1.1715,0.94208,0.68666,0.14989,1.5093,0.48704,0.76439,0.37439,0.17738,0.28749
16.382,41.227,47.845,25.858,57.806,71.217,108.4,70.938,93.804,101.16,99.514,89.81,97.245,97.662,99.355,76.816,54.356,80.475
9.2872,8.165,9.137,8.7046,7.3257,7.74,7.2143,6.7355,7.5572,7.2092,7.3041,7.8151,6.7755,8.5476,7.6729,6.3345,8.531,6.987
2.2933,1.5099,1.0584,1.0545,1.41,1.4769,1.0814,0.88308,0.44859,0.99305,0.58462,0.3065,0.94717,0.60012,0.76261,0.4315,0.29521,0.55701
32.165,17.989,23.728,22.73,19.459,24.203,20.226,23.564,23.374,25.875,28.557,19.018,23.665,19.553,20.821,22.454,16.937,21.695
11.113,7.9524,8.529,6.1449,8.3001,5.9493,4.813,3.6073,2.5441,5.2367,3.3503,5.1926,3.815,4.7288,4.717,2.9846,5.6861,2.9939
18.28,19.712,21.737,22.207,18.938,17.678,18.996,16.607,16.865,17.762,23.192,19.841,17.629,20.633,17.296,16.203,25.555,14.93
55.94,66.636,84.606,60.381,60.24,74.836,83.329,68.256,86.591,93.133,73.034,76.405,67.927,89.131,93.879,82.187,76.343,64.847
6.4884,6.4962,6.0768,5.0376,6.2657,7.1249,5.6541,5.6724,5.715,6.3284,5.4248,5.5697,6.8289,5.0284,5.2855,5.3965,4.4645,4.7071
19.092,28.779,40.895,26.505,44.551,60.983,81.295,67.746,80.319,78.66,76.368,62.584,64.21,85.343,78.004,67.581,45.654,91.845
8.194,6.2003,4.7447,5.3647,6.0932,6.2345,3.588,3.6798,3.5227,3.7898,2.5635,2.5589,4.0659,3.4042,3.2834,2.9936,3.0517,3.3091
34.897,33.496,30.251,36.557,35.53,36.757,28.093,42.119,38.942,29.401,39.86,36.922,38.877,34.209,36.69,49.446,65.068,42.087
0.77263,0.69636,0.78884,0.95009,1.7926,1.6942,3.3503,2.6108,2.0241,1.5198,1.8781,2.327,1.7681,2.0018,1.9261,2.1269,1.2442,2.7966
0.20167,0.2983,0.16351,0.2201,0.35054,0.42839,0.81019,0.57299,0.46151,0.31241,0.77246,0.57578,0.37341,0.35029,0.21654,0.46931,0.31048,0.67046
0.0053033,0.0043018,0.0048731,0.0051788,0.0062684,0.013361,0.0086238,0.028462,0.0031261,0,0.019185,0.0090318,0.0092742,0.0018643,0.0030251,0.0031789,0.0067162,0.015611
69.195,113.54,111.77,92.006,136.35,96.313,113.8,89.582,79.008,54.655,95.138,233.32,103.64,79.994,66.494,103.99,212.06,50.993
0.92429,1.1996,1.2315,0.90259,1.7207,2.6101,2.0791,2.0927,2.8604,1.5518,2.8302,1.6135,2.8556,1.389,1.7926,2.6455,1.19,1.3468
0.69259,1.5287,1.8659,1.1042,1.5871,1.7014,1.328,2.32,2.6439,1.6337,2.055,1.8816,3.477,1.0368,0.89227,1.847,0.45745,1.7974
0.063117,0.068264,0.057997,0.14381,0.1492,0.2827,0.13685,0.28228,0.47126,0.16622,0.28269,0.44788,0.71131,0.073959,0.024002,0.27744,0.33749,0.2725
0.0247,0,0.045392,0.1206,0,0.020743,0.16066,0.099419,0.087357,0.08673,0.025529,0.14723,0.17277,0.086828,0.11271,0,0.041707,0.058166
4.1066,8.3572,4.8279,13.033,3.5833,2.901,3.6793,3.3059,2.6485,1.7707,3.2334,5.9755,2.2812,6.5302,3.9134,2.7077,4.0178,4.494
0.042803,0.011573,0.052441,0.083595,0.033728,0.047928,0.046401,0.268,0.033641,0.012525,0.10323,0.12149,0.11643,0.010031,0,0.068417,0.024091,0.050398
0,0,0.036737,0.15617,0.047256,0.1343,0,0.16093,0.047134,0.035097,0,0,0.32628,0,0,0,0,0
15.667,17.696,15.205,9.9531,15.998,13.677,12.391,11.128,11.416,11.894,11.16,14.09,11.61,12.485,10.828,11.774,12.379,12.617
9.1378,8.9428,9.3823,7.2144,9.4516,8.8497,8.6193,9.3202,8.8442,9.9452,5.1903,4.7166,7.2736,8.8637,7.326,5.4362,3.9056,6.5577
0.046469,0.0094235,0,0,0.041194,0,0.037782,0.015587,0.027392,0,0.012008,0,0,0,0,0,0.0098083,0
0.0944,0,0,0.015364,0,0.013213,0.034112,0.02111,0,0,0.016262,0,0,0,0.017949,0,0,0.018525
0.016845,0,0,0,0,0.0070734,0,0.033902,0.0099296,0,0,0,0,0,0,0,0,0
0.064734,0,0.019828,0.021071,0.025504,0.018121,0,0,0.050877,0,0.066909,0,0,0,0.049234,0,0.018218,0
0,0,0,0,0,0,0,0,0,0.010956,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.021525,0,0,0,0,0,0,0,0,0,0
0.13722,0.11131,0.16211,0.038285,0.02317,0.049387,0.063752,0.052602,0,0,0,0.066768,0.06856,0.027564,0.067091,0.2115,0.04965,0.069244
