0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
691.16,1319.2,1040.8,818.97,652.9,565.88,628.41,711.43,976.55,662.31,430.45,1213.9,1124.3,634.11,910.65,609.44,824.77,965.34,648.17,382.71,515.71,1048.3,1129.1,1134.5,955.28,1025.4,1022.7,838.58,758.38
105.19,62.18,91.68,17.96,19.3,88.61,92.62,65.82,158.93,117.05,213.22,176.02,99.37,51.45,164.11,228.94,38.48,190.92,71.07,139.08,215.04,110.57,39.21,60.98,147.46,182.36,143.16,122.03,40.33
2166,2187.5,6248.6,3300.1,3079.2,1794.9,2143.9,1798.8,2301.1,2040.8,2208.4,2062.4,4326.8,2323.3,1562.5,1688.5,2039.3,2681,1685.2,2191.7,2729.6,2182.1,3109.6,1947.5,2070.5,2788.5,3198.4,2565.3,1835.3
444.77,548.18,393.93,502.92,487.48,334.41,511.84,390,254.13,351.46,506.34,370.95,352.16,365.64,396.09,513.93,492.61,268.13,419.77,434.32,701.38,678.41,874.44,602.12,636.73,418.41,491.84,466.86,498.21
66.585,90.835,95.73,287.42,51.275,64.615,71.3,92.745,103.89,91.14,196.15,52.735,77.195,48.43,61.1,45.57,97.635,104.33,178.06,75.93,71.16,164.26,89.695,70.785,217.71,41.18,75.115,342.79,258.88
230.3,180.72,261.98,170.38,233.86,313.51,138.25,230.72,227.37,214,81.53,268.19,322.21,289.1,169.84,217.64,280.55,370.79,375.64,208.88,215.03,201.26,83.71,180.65,218.83,267.62,218.14,265.75,199.32
3062.9,2821.7,1730.5,2161.7,2433.6,1158.1,2487.7,1838.9,2809.3,2255.4,2106.9,3603.8,2424.1,1677.1,2997.6,1951,2703.8,2883.2,2679.1,1194,1405.2,2565.3,2564.6,2196.4,2866.3,3218.6,2809.3,2470.6,2003.4
552.6,429.84,388.78,774.65,505.05,787.16,406.21,1381.6,461.98,531.04,761.81,877.11,403.58,527.84,685.74,827,397.29,531.16,425.25,509.08,452.84,447.43,618.13,626.11,555.07,650.86,621.29,583.01,888.1
655.35,383.65,862.43,545.44,683.99,941.49,586.12,929.24,695.83,515.41,610.26,757.25,775.19,856.41,645.14,748.61,627.38,661.55,485.19,542.95,417.44,800.81,463.28,574.42,556.37,585.35,666.92,607.22,376.45
448.54,463.9,413.35,233.98,205.41,344,416.38,374.86,381.61,427.79,218.58,492.2,434.95,275,352.09,137.17,515.67,405.45,430.17,62.68,373.06,447.26,239.71,203.89,213.46,429.17,126.87,264.01,317.79
49.84,25.15,93.86,46.76,110.86,47.45,29.7,296.98,52.47,41.46,53.21,156.56,48.5,39.23,43.96,47.49,55.26,78.34,32.83,15.89,186.51,49.04,45.56,38.29,145.93,38.89,54.71,68.49,33.31
48.83,143.21,178.37,261.56,172.49,79.215,61.305,161.24,83.455,91.065,88.5,124.33,102.74,99.115,209.36,207.3,62.535,57.02,238.39,178.28,116.96,93.28,144.06,293.27,103.27,133.46,189.1,76.81,253.13
63.65,170.02,55.8,168.3,52.54,71.75,203.66,185.04,95.8,118.51,224.08,201.22,86.18,122.34,125.86,89.11,229.79,68.61,59.94,28.03,60.19,241.86,55.5,264.84,172.49,125.62,87.83,7.49,144.9
84.05,161.48,52.52,437.81,180.04,85.34,65.1,51.89,83.9,74.55,216.94,116.8,82.15,57.95,503.3,186.06,258.13,69.6,46.37,97.79,133.33,162.47,547.02,104.27,167.4,87.51,273.73,139.65,89.87
137.95,28.79,488.19,100.21,278.67,76.77,343.27,253,193.3,238.46,182.38,67.95,124.56,96.1,37.83,63.69,26.94,181.93,165.91,240.31,38.6,67.41,33.11,247.87,18.93,123.91,26.04,24.18,180.6
94.34,147.12,245.05,138.81,210.37,135.58,64.9,275.2,224.56,70.74,167.94,223.7,224.85,272.16,165.73,173.47,137.19,173.53,87.2,107.87,304.35,145.94,27.14,348.57,144.51,156.35,237.38,100.31,148.67
420.74,527.28,344.79,450.6,339.67,413.51,269.4,208.19,483.47,389.08,371.65,310.94,555.59,552.69,234.82,169.61,411.8,707.72,256.08,312.66,154.76,192.8,370.98,460.21,638.79,443.23,211.34,719.51,214.09
156.28,107.39,331.77,106.31,252.8,125.82,282.41,81.24,239.36,145.99,90.1,198.25,284.52,266.55,214,126.07,95.64,182.87,167.86,166.47,265.19,336.74,261.15,115.93,166.52,115.9,145.03,195.47,246.71
300.2,292.5,401.82,330.78,325.1,321.2,342.92,329.3,310.31,240.86,439.4,482.24,416.11,428.07,523.87,390.37,447.12,335.26,160.58,267.14,567.1,497.43,328.96,318.52,440.61,306.5,211.96,369.51,320.09
872.84,436.58,792.46,843.22,821.45,833.9,772.65,988.59,804.88,742,957,1029.3,749.31,958.97,736.16,837.93,515.14,723.13,579.43,675.02,295.57,534.54,534.43,746.35,525.63,710.33,542.85,565.04,786.58
134.22,116.89,118.9,104.35,97.56,119.64,107.01,137.59,114.74,86.95,22.47,38.4,65.28,116.5,77.06,67.75,59.25,145.91,176.85,102.9,79.39,28.25,138.37,55.53,208.29,48.64,161.79,91.54,148.9
1150.8,982.3,794.39,895.63,1253.7,751.74,1095.8,964.34,787.84,985.55,896.87,1103.8,746.86,952.72,1435.6,970.97,826.64,934.66,830.33,694.18,836.08,1074.8,1218.1,617.37,1251.1,1066.6,936.07,989.33,1269.5
1959.6,1030.9,1989.5,1026.1,1145.5,1109.9,1085.6,1396.2,2275.8,2032.4,1186.9,1304.5,1275,1666.5,1162.8,1222.1,1439.3,2020.6,1879.9,667.73,776.22,916.04,1124.1,1541.2,1270.1,1285.4,1092.1,1597.8,1120.9
316.83,490.04,388.25,237.68,428.71,355.53,277.73,464.14,341.69,327.77,380.03,588.81,329.47,351.54,53.425,312.62,219.26,358.49,249.85,213.78,370.09,442.23,377.3,390.55,322.11,471.09,543.17,362.54,445.39
1141.9,1550.1,725.36,2336.2,750.89,1015.1,1232.5,902.07,1213.5,985.79,1310,1472.9,1296.9,791.09,1139.2,979.04,1157.8,1348.1,977.58,1092.5,1499.4,1964.2,1388.6,952.59,1190.1,980.41,941.07,985.18,1252.7
315.58,316.84,164.19,154.02,460.79,282.06,491.34,460.14,677.64,290.53,298.17,315.39,317.69,464.32,373.39,410.25,543.72,506.31,508.88,278.98,236.67,452.17,276.6,421.67,222.64,536.97,53.37,696.95,345.8
733.08,580.84,562.69,729.97,644.43,677.56,604.51,821.77,623.39,579.72,769.41,781.34,516.03,565.94,839.73,948.4,518.22,632.31,356.15,597.48,472.83,750.89,815.6,555.38,455.86,733.56,547.75,583.98,826.35
566.08,1224.1,447.04,747.99,752.68,885.3,675.03,486.55,594.51,581.21,1009,841.15,604.61,437.56,640.19,731.13,538.82,671.81,315.55,396.59,449.19,719.43,898.14,835.54,461.49,680.66,785.34,542.45,826.28
429.42,91.02,697.34,461.98,485.99,714.43,422.66,691.52,475.81,661.31,612.25,460.36,556.8,568.5,336.12,495.57,427.69,474.08,419.18,310.11,65.41,312.57,338.05,273.25,133.95,568.84,172.74,471.8,440.04
550.69,239.21,258.87,229.11,357.57,254.43,223.88,286.86,278.04,297.38,274.51,395.92,519.18,367.34,274.61,310.18,283.82,324.05,381.04,122.27,189.9,191.95,304.66,240.62,215.97,360.49,253.39,440.65,274.19
