0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1218.5,1777.7,2053.1,1726.7,1899.5,2545.2,1960.7,1801.3,2407.1,1711,2672.7,2326.6,1786.1,3427.4,1843.1,2392.3,2347.6,414.24,2585.7,2573
399.26,429.4,532.58,299.58,861.52,958.01,851.33,827.19,435.9,446.13,1100.7,375.42,470.53,562.37,884.26,725.02,964.24,110.72,911.33,895
1878.5,2442.5,1984.5,2027,1806.6,1263.4,1829.9,1492.6,1919.3,2422.9,1752,2709.1,1718.6,2084.4,1537.7,1436.4,1493.6,390.11,1503.7,2149.2
358.54,442.75,250.51,342.63,535.83,532.05,331.93,679.75,430.58,388.15,599.09,355.3,313.45,501.42,322.79,376.29,527.22,47.997,321.13,430.23
254.35,296.52,112.48,328.23,146.48,657.24,80.761,550.92,362.64,149.37,339.57,282.68,570.8,472.46,111.01,506.62,495.65,15.147,72.393,336.26
508.13,564.27,549.45,311.99,603.81,1083.3,592.66,873.74,763.77,548.82,833.75,668.38,754.26,903.35,600.37,746.62,841.92,72.619,503.35,784.74
569.53,259,535.99,703.96,553.37,627.22,316.68,565.84,411.36,272.65,422.81,450.36,679.28,574.13,348.9,341.8,381.26,43.489,304.74,362.05
359.38,417.75,379.08,171.21,186.29,727.95,529.42,730.24,353.97,210.53,665.49,529.92,192.76,304.05,474.3,577.97,240.09,50.64,258.75,329.3
446.13,1049.1,1009.3,549.41,1143.4,942.8,1078.3,1104.6,1451,1442,866,537.6,1424.6,1030.2,1273.6,791.34,398.12,151.85,658,258.57
1105.2,1373.1,918.54,583.39,1122.6,462.08,1145.6,1157.3,1075.7,1361.8,1101.1,1541.2,951.06,747.4,966.53,1221.5,1006.9,186.8,1325.7,901.37
1910.3,2591.6,2190.6,1773.2,1532.2,871.92,1016.2,1303.8,1778.7,3123.2,900.82,1942.3,1462.8,1759.7,1539.3,1307.7,1700.5,335.45,1913.5,1938.7
203.25,197.76,349.64,135.64,64.677,141.68,165.06,472.49,378.7,240.56,264.01,188.15,196.29,349.09,126.89,176.75,147.89,54.703,137.13,173.42
1231.7,2073.8,1827.1,1261.9,1350.9,3287.7,1308.9,1613.1,1571.5,2138.4,1192.5,1788.5,1329.1,1721.8,1973.3,1798.3,1976,253.05,1484.4,1135.5
330.9,306.4,384.41,235,383.7,540.21,550.05,474.81,373.83,365.72,699.79,256.98,361.71,366.16,487.06,645.4,727.7,52.506,405.08,330.36
58.408,47.398,32.142,107.53,90.025,106.72,143.26,127.66,42.723,51.579,75.373,25.8,16.401,34.344,46.532,18.08,36.601,4.9732,30.146,81.179
159.17,56.157,43.126,73.497,151.95,78.335,81.472,78.052,123.18,55.029,335.58,49.994,386.54,118.45,60.854,61.269,250.73,41.566,19.883,208.61
211.08,256.74,264.29,279.69,94.124,86.449,60.869,266.88,411.17,208.28,170.35,316.73,212.59,628.31,141.9,346.88,54.264,34.749,147.96,97.856
261.94,302.06,261.62,197.06,313.73,537.18,429.11,357.38,267.74,241.69,609.58,381.24,404.2,340.37,369.68,479.38,383.92,53.109,304.55,334.3
799.94,429.74,658.79,696.94,791.84,730.65,510.74,813.76,766.26,677.57,512.83,920.25,531.41,711.99,768.34,878.53,715.48,114.05,457.99,563.5
21.271,53.067,25.575,55.252,210.79,199.01,240.16,28.395,33.532,41.434,57.562,33.698,168.25,30.991,61.695,31.376,55.17,7.471,127.03,191.71
565.96,498.58,667.17,332.44,512.92,850.66,726.96,537.16,315.64,464.09,697.74,545.37,578.81,667.58,705.93,543.62,525.75,86.894,535.61,421.91
13958,15215,3631.3,12645,29009,23215,26375,17629,7753.9,9695.3,32574,8539.8,11765,14333,25240,10350,22965,4464.1,20877,20425
555,103.62,384.93,311.28,784.81,1056.3,389.49,797.98,307.63,450.88,920.25,596.57,638.39,803.02,132.49,716.5,229.02,71.927,351.25,526
19722,29514,2832,18365,40658,38251,31182,23778,14845,17255,42538,15002,27688,31366,36670,20717,38270,6895.4,29800,28517
237.55,84.554,277.78,309.49,255.52,1065.5,391.44,686.12,471.47,431.19,521.2,326.27,482.56,340.53,401.98,449.82,552.7,50.874,216.34,331.01
858.53,722.34,975.94,750.06,613.99,607.83,544.69,813.08,558.81,1032.3,660.06,472.43,773.56,723.76,610.92,817.09,511.41,59.889,492.66,449.47
