4.4508,6.2558,5.4932,2.6096,7.707
0,0,0.29418,0,0
2.4919,3.9659,3.9891,2.1459,7.2834
6.2177,8.3792,8.1238,8.2148,7.5475
0.034131,0.096208,0,0,0
0,0,0,0.059307,0
0.12355,3.5049,1.2534,0.28508,0.16155
0.25193,0.6322,0.18532,0.58314,0.62163
0.07873,0.11096,0.032978,0.23168,0
0,0.50374,0.083344,0.016264,0
24.122,25.148,27.793,28.482,27.325
0.13135,0.32398,0.28886,0.090594,0.37357
0.51607,0.52899,0.31443,0.22435,0.51466
0.21816,0.19567,0.12461,0.10943,0.12087
