0,1,2,3,4,5
29.263,52.667,52.882,4.8211,28.266,0.63264
0.18737,0.22393,0.21626,0.06345,0.68967,0.011827
0.11937,0,0.0562,0.11748,0.029871,0.40876
0.23199,0.49047,0.78502,0.11416,0.37007,0.063835
0.64227,0.64661,0.30238,0.30794,0.66758,2.1751
8.1179,6.168,6.1026,50.683,11.301,126.58
0.18593,0.35565,0.30637,2.0738,1.4422,4.0701
0.11586,0.27995,0,0.76017,0.30925,1.8515
14.839,5.1555,4.8862,12.721,4.5539,12.602
4.6901,1.5803,1.2167,6.1543,1.3892,4.3077
0.19004,0.18707,0.27835,1.9118,0.14794,1.663
0.41686,0.33574,0.86352,0.2188,0.1669,0.2447
2.0262,2.0152,2.2535,1.6773,2.2186,1.663
0.56477,0.3639,0.31907,0.7411,0,1.1051
5.3319,6.645,4.7871,4.8485,7.0993,5.5941
8.026,8.5146,7.6329,4.8527,5.4986,5.6238
1.4889,1.1991,1.4538,0.86831,5.4642,0.6474
0.024011,0.038677,0.0056521,0.015754,0.15021,0
21.599,17.89,23.403,20.835,19.971,18.914
1.528,2.2475,1.5546,0.66267,2.5144,0.50041
3.0067,3.0996,3.3421,1.1209,4.2255,0.92321
0,0.10318,0,0,0,0
0.3407,0.32013,0.62377,0.72027,0.24628,0.44443
