0,1,2,3,4,5
0.01603,0.031588,0.023636,0,0,0.053939
0,0,0,0,0,0.032599
2.7758,5.8872,7.4689,9.0209,12.929,9.6631
4.7892,3.7288,3.3691,2.5519,3.5083,3.5217
0.69381,0.22257,0.42825,0.26753,0.82765,0.4072
0,2.5004,0.09944,0.11964,0.29118,0.52108
0.070449,14.223,0.36877,0.66842,2.4037,1.9083
0,0,0,0,0,0
0,0.98567,0,0.070885,0.11961,0
2.5437,23.667,6.1989,3.1839,6.0064,8.0857
3.4792,10.319,6.2663,3.3769,6.1974,7.6852
4.0014,5.5076,4.8489,2.9412,4.4706,4.4357
0,0,0.1794,0,0,0
0.20207,0.13273,0,0.12409,0.2094,0.28331
0.074717,0.24846,0.1928,0.034413,0.10888,0.062854
11.612,19.562,12.45,10.144,11.618,12.846
25.86,13.546,14.979,8.7325,13.889,23.999
13.065,10.801,13.914,10.409,13.801,21.314
8.2217,8.5948,4.8015,3.8935,7.1818,10.331
7.8736,9.0871,6.9152,7.573,9.0846,8.1041
0,0,0,0,0,0
0,0,0,0,0,0
0.39051,0.51303,0.09597,0.11991,0.70817,0.054751
3.4459,2.5836,2.3401,2.2121,3.0192,3.6054
0,0,0.13926,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.072913,0,0,0.11503,0
0,0,0,0,0,0
0,0.29488,0.11033,0.27569,0,0
0.039236,0.40206,0.13885,0.043371,0.073186,0.39608
0.18955,0.37352,0,0.04365,0.22097,0.59794
0.20232,0.19935,0,0,0.15725,1.702
53.605,38.267,48.917,39.429,45.993,45.14
0.92783,3.6568,0.81074,0.18993,1.3888,1.6188
2.9273,5.2618,7.0507,2.7533,5.4292,12.03
1.2692,4.0401,3.4309,1.4089,3.035,6.8165
0,0.087256,0.043527,0.027192,0.022942,0.049665
0,0,0.017438,0.63182,0.018382,0
0.076085,0,0,0,0,0
79.258,95.792,67.258,84.847,96.363,67.269
0,0.25838,0.19334,0,0.40762,0.2206
59.337,29.633,66.706,43.419,46.884,62.162
0.11232,0.10416,0.12665,0.024345,0.092432,0.24456
0,0,0,0,0,0
0,0,0,0,0.039055,0
0,0,0,0,0,0
0,0,0,0,0,0.045718
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5.379,4.308,3.584,2.4907,4.6128,6.2592
0,0.47103,0.35245,0,0,0
40.132,34.222,27.932,17.88,29.855,42.418
0.67333,1.6302,0.90775,0.38987,0.95691,0.84154
0,0,0,0,0,0
0.036599,0,0.21587,0,0,0.061576
0.020525,0,0,0,0,0.034531
0.038421,0,0,0,0,0.032321
0,0,0,0,0,0
0,0,0,0,0,0
