0,1,2,3,4,5,6,7,8,9,10
6.4619,1.7621,5.3504,2.8464,6.1748,2.6745,4.5324,3.4823,5.4086,2.8263,4.7701
75.902,15.15,36.47,13.087,38.976,23.559,15.69,40.178,65.854,22.783,56.78
3.9318,1.7509,2.0089,1.8176,3.8462,2.5737,2.7315,1.6884,1.9117,0.65909,1.5069
11.994,12.944,9.8248,13.237,7.4988,10.303,15.354,7.4867,9.4697,6.9924,9.0276
12.802,10.454,9.2523,8.998,10.67,9.2159,8.7092,8.7553,8.0067,9.9841,9.0564
5.671,3.461,5.7443,3.0531,7.3554,3.5376,1.8402,8.3942,7.751,3.3455,9.4905
26.442,23.439,23.758,27.46,23.754,26.132,27.329,21.362,21.699,26.397,20.577
6.2966,8.9821,6.1001,7.7949,4.0719,5.9715,8.3004,4.3707,4.4043,7.324,3.9963
0.46256,0.067659,0.45829,0.47543,0.5971,0.49313,0.028894,0.17927,0.23218,0.18991,0.29646
0,0,0,0,0,0,0,0,0,0,0
0.4306,1.6368,0.53755,1.2527,1.4149,2.3817,2.0335,0.29205,0.22695,2.1215,0.47088
4.3282,5.2436,5.362,6.2116,4.4149,5.9321,6.2845,5.6271,5.8467,5.0191,3.1684
13.569,14.956,14.599,17.163,18.757,20.045,15.029,18.892,19.874,18.588,17.179
0.53234,0.94273,0.77984,1.4274,1.5528,3.7771,0.92634,1.061,1.0827,2.422,0.70368
17.776,15.097,18.65,14.218,23.498,11.523,15.389,20.628,15.34,15.077,15.539
0.22445,6.3774,11.792,12.849,6.9602,0.44338,17.592,7.1548,5.1082,14.03,5.7114
6.187,13.251,15.228,16.864,11.147,9.783,19.852,13.074,8.0609,19.62,10.439
0.67845,1.2591,0.94105,1.6978,0.60375,1.638,1.9283,1.227,0.48759,2.4373,0.5707
0.039938,0.26069,0.31161,0.22488,0.4757,0.34187,0.10478,0.16252,0.019135,0.34435,0.067191
17.924,17.314,17.382,15.998,17.768,15.825,18.338,19.72,16.557,17.302,5.3569
19.884,19.03,19.047,17.913,19.745,17.514,19.818,22.152,18.722,19.482,6.427
3.7918,4.8452,3.0221,4.7255,3.4497,7.3427,4.5997,4.1848,2.5689,4.9592,1.4062
2.3395,2.7534,2.6017,4.0462,2.5845,3.3643,4.1272,2.7965,2.6971,4.3169,1.0632
23.968,23.326,22.852,22.722,16.277,19.417,26.915,20.372,14.769,19.819,16.68
84.96,91.137,85.513,73.875,104.4,77.127,72.03,96.796,92.959,71.498,94.341
0.14864,0.076098,0.077317,0.18599,0.18316,0.58726,0.12999,0,0.04748,0.45772,0.1042
0.1304,0.32545,0.1187,0.90251,0.34813,0.75131,0.44903,0.25058,0.26553,0.9637,0.095979
0.20963,0.18398,0.37385,0.19673,0.7503,0.35494,0.2357,0.31143,0.66003,0.16599,0.2771
0.021957,0.029507,0.034262,0.061816,0,0.1012,0.021602,0.034747,0,0.067611,0.023087
0,0.017642,0,0,0,0.060509,0,0.020775,0,0,0.0773
0.22293,0.10812,0.048824,0.13213,0.04819,0.20087,0.061565,0.063661,0.067459,0.13006,0.039478
0,0,0,0,0,0.054942,0.10945,0,0,0,0
0.23741,1.9576,1.162,2.827,0.27495,4.3721,4.2376,0.33788,0.24242,3.1879,0.51073
0.0053492,0.29165,0.13355,0.39156,0.030759,0.51425,0.53329,0.033861,0.015378,0.36896,0.044997
0.93378,2.8882,1.4571,3.278,1.4915,3.4842,3.2778,1.2432,1.6985,4.1533,1.731
4.3374,3.8453,5.0735,4.3948,4.4088,5.1176,4.3899,3.8011,4.5754,5.2382,4.6393
1.6635,3.5306,2.8722,3.6967,1.9548,3.4838,4.2278,2.1102,1.583,4.2543,1.9726
0.11003,0.084491,0.22892,0.20651,0.090381,0.72448,0.14433,0.099496,0,0,0
25.831,26.485,29.541,23.113,26.308,16.82,18.678,28.333,29.003,21.36,30.646
0.96077,1.1616,1.0952,1.6546,0.81441,1.4335,1.2134,1.0675,1.6161,1.7121,1.0876
0.18211,0.069924,0.047363,0,0.037399,0,0.059723,0,0.13088,0.22431,0
0,0.59692,0.050541,0.45592,0.15963,0.3199,0.12746,0.087867,0,0.53856,0
0.2371,0.45518,0.73996,0.59334,0.29215,0.62448,0.20735,0.1072,0.41653,1.1195,0.73129
0.044801,0.13761,0.27964,0,0.073603,0.295,0.17631,0.12154,0,0.44145,0.075371
0.21118,0.25484,0.094153,0.22649,0,0.63567,0.3166,0.19097,0.11564,0.18579,0.15226
0.44024,0.52097,0.41294,0.71793,0.33792,0.87441,0.55857,0.54822,0.66392,0.88894,0.58888
17.689,19.276,15.648,21.292,11.579,25.512,22.248,13.414,12.193,21.157,14.887
3.1981,4.383,5.5248,5.6411,4.2091,6.4405,5.9407,3.5781,4.6417,7.0445,4.4084
0.48587,30.601,10.355,28.002,0.48878,28.311,45.479,0.98064,0.46222,21.596,2.7691
0,0.75763,0.35923,0.64811,0,1.4942,5.6298,0.044609,0,1.4583,0.16598
0.17467,0.503,0.36342,0.86058,0,1.8402,5.7283,0,0,1.0219,0.1102
8.3776,6.9731,7.9198,7.0441,9.9347,7.9006,10.031,8.247,7.6184,8.532,8.5984
0.034372,0.32994,0.75091,1.1774,0.14118,0.99585,2.0967,0.015542,0,0.65622,0.1012
0.18028,0.84797,1.1253,2.4321,0.25916,2.9974,2.0693,0.50947,0.43189,1.943,0.49287
1.9165,6.0609,4.7864,9.4387,2.094,11.617,12.436,2.0671,1.6717,8.7168,1.8921
14.095,38.24,31.478,52.807,16.873,61.862,59.028,19.378,18.99,54.039,18.694
0,0.1196,0.054009,0.17864,0.099509,0.15953,0.34052,0.18779,0.033166,0.085261,0.029114
0.10756,0.082602,0.8952,0.50472,0.41234,0.37775,0.75255,0.032424,0.10307,0.70661,0.1508
2.3737,5.3612,4.6845,4.0293,3.828,6.091,7.212,3.0304,3.4621,5.1164,4.7275
